音频文件：黄埔大道中.m4a
转写模型：whisper.cpp small

[00:00:00 - 00:00:07] 欢迎你来面试的我们这一轮面试官的话首先我是一双平均这位是这个赶回的知识上级应该
[00:02:09 - 00:02:16] 辅助还有一个s确设成这次报告然后去辅助达线用一些ipi force 还有一些videole 还有
[00:02:16 - 00:02:25] 呃一些抓包去辅助我定位去快速的一个达线这么一个测试框呃测试中的话一个框呃就有这种话一个框架
[00:02:25 - 00:02:30] 啊我也了解到贵宫设施做那个啊独立独立上的一个
[00:02:30 - 00:02:35] 呃这么一个业务吧还有一个s一员的这么一个
[00:02:37 - 00:02:40] 这些业务的一个情况基本情况然后也跟
[00:02:40 - 00:02:43] 呃也符合我现在这种项目的为不
[00:02:43 - 00:02:46] 为不测试这么一个
[00:02:46 - 00:02:48] 跟我现在项目经历也是比较匹配
[00:02:48 - 00:02:50] 然后我觉得也
[00:02:50 - 00:02:52] 有希望也有
[00:02:52 - 00:02:56] 也有一个意义上去做那种关键电商的一个业务
[00:02:56 - 00:03:01] 然后再去提升自己因为我现在一年经历在
[00:03:02 - 00:03:07] 我就投了两周的话就还是比较自然还是比较钱的因为我现在离职
[00:03:07 - 00:03:09] 你的什么离职原因就是因为公司
[00:03:09 - 00:03:13] 策开发都是全账了然后就是
[00:03:13 - 00:03:14] 就是现在我
[00:03:14 - 00:03:16] 就直接把我拆掉了
[00:03:16 - 00:03:17] 然后就
[00:03:17 - 00:03:21] 钱的就剩我一个设施也拆掉了所以就现在投进去
[00:03:21 - 00:03:24] 那你们公司现在的业务
[00:03:24 - 00:03:26] 是研发这里去测吗
[00:03:26 - 00:03:29] 对这次就现在ai ai的话
[00:03:29 - 00:03:31] 他们就用ai去
[00:03:32 - 00:03:34] 嗯做开发
[00:03:34 - 00:03:37] 其实我觉得我自己
[00:03:37 - 00:03:41] 他应该就是为了解约成本嘛自己认为的话
[00:03:41 - 00:03:42] 因为他现在
[00:03:42 - 00:03:47] 我这个月的工资也是只发了一半下个月再发完全部
[00:03:47 - 00:03:50] 那刚调到这个ai的那你觉得
[00:03:50 - 00:03:51] 嗯
[00:03:51 - 00:03:56] 因为像现在的话ai变成的话是能大部分机会替代掉
[00:03:56 - 00:04:01] 开发人员的一个工作完那你觉得在测试方面的话他能够去替代吗
[00:04:02 - 00:04:05] 我自己也尝试过去替代比如我像
[00:04:05 - 00:04:10] 我上网去了解到ai今天这次库去搭建本地的一个制度我先
[00:04:10 - 00:04:11] 先
[00:04:11 - 00:04:14] 喂给ai就用需求完打
[00:04:14 - 00:04:15] 嗯设计稿
[00:04:15 - 00:04:18] 我自己历史写过了一些全部的一个
[00:04:18 - 00:04:20] 因为这个项目是我独立负责的嘛
[00:04:20 - 00:04:23] 所以这个不理所有的测试方面我都写过了然后全部给ai
[00:04:23 - 00:04:24] 用
[00:04:24 - 00:04:26] 用
[00:04:26 - 00:04:29] 国外的那个可不卡的一个制度夸加
[00:04:29 - 00:04:32] 用口袋子去自己打一个结构
[00:04:32 - 00:04:35] 然后去慢慢的去删除
[00:04:35 - 00:04:37] 呃测试用力
[00:04:37 - 00:04:40] 然后大概我现在的话就是大概
[00:04:40 - 00:04:42] 6秒的话就是成成
[00:04:42 - 00:04:48] 25条的一个测试用力但是只能用10%左右后期的话打算去
[00:04:48 - 00:04:51] 就再去学习那个i n g的一个
[00:04:51 - 00:04:52] 这次库去
[00:04:52 - 00:04:53] 像
[00:04:53 - 00:04:56] 减呃加快他减锁的一个速度
[00:04:56 - 00:04:57] 然后准确率
[00:04:58 - 00:05:03] 还有一种因为现在那个现在这个公司的话他那个需求完打的话大概
[00:05:03 - 00:05:07] 好像没什么晚上所以就被给ai也是比较
[00:05:07 - 00:05:09] 不了解我们这个项目嘛
[00:05:09 - 00:05:09] 嗯
[00:05:09 - 00:05:11] 然后我现在是慢慢去油啊就是这样子
[00:05:11 - 00:05:12] 明白
[00:05:12 - 00:05:19] 你刚才说测试独立负责的是这个到家负责还是这个比不稀的
[00:05:19 - 00:05:21] 嗯哦这就是我这个潜力
[00:05:21 - 00:05:22] 哦
[00:05:22 - 00:05:24] 这看的比较好一点
[00:05:24 - 00:05:26] 哎差不多一样的
[00:05:27 - 00:05:28] 我自己在修改了
[00:05:28 - 00:05:28] 为
[00:05:28 - 00:05:29] 为调了
[00:05:29 - 00:05:29] 哦
[00:05:29 - 00:05:31] 那你看这个好吧那哪一份是你
[00:05:31 - 00:05:32] 你你你你
[00:05:32 - 00:05:35] 你刚才哪一个项目说是你自己独立负责的
[00:05:35 - 00:05:38] 啊这个其实这两个都是我自己独立负责的
[00:05:38 - 00:05:38] 好
[00:05:38 - 00:05:41] 好那我接着这个
[00:05:41 - 00:05:44] 如果评判这个的话你呃当时的一个
[00:05:44 - 00:05:47] 这个项目的一个人员分配是怎样的
[00:05:47 - 00:05:50] 研发测试还已经那些其他的
[00:05:50 - 00:05:51] 嗯就是人员
[00:05:51 - 00:05:53] 有几个人吗
[00:05:53 - 00:05:54] 好对手是
[00:05:54 - 00:05:58] 啊就是后端的话两个
[00:05:58 - 00:05:59] 前端也是两个
[00:05:59 - 00:06:00] 然后我测试一个人
[00:06:00 - 00:06:02] 嗯产品经理那些
[00:06:02 - 00:06:03] 产品经理也是一个人
[00:06:03 - 00:06:14] 那你该入职这家公司的时候会有
[00:06:14 - 00:06:18] 呃之前的测试人跟你交接工作吗
[00:06:18 - 00:06:18] 还是
[00:06:18 - 00:06:20] 独立没有
[00:06:20 - 00:06:22] 就是我自己在去琢磨
[00:06:22 - 00:06:23] 呃琢磨
[00:06:23 - 00:06:24] 然后也会
[00:06:24 - 00:06:26] 也会自己去学习吧
[00:06:26 - 00:06:28] 我我感觉我自己学一定还是可以的
[00:06:28 - 00:06:29] 因为我现在也是用过
[00:06:29 - 00:06:31] 虽然我是自己一个人
[00:06:31 - 00:06:32] 但是我会晚上去
[00:06:32 - 00:06:33] 认识一些
[00:06:33 - 00:06:36] 把工作四五年这样一个测试的一个人员
[00:06:36 - 00:06:37] 这样才认识
[00:06:37 - 00:06:38] 抖音
[00:06:38 - 00:06:41] 啊然后现在就微信群有一个
[00:06:41 - 00:06:43] 两百多号人的一个测试群
[00:06:43 - 00:06:45] 就交流学习这样子
[00:06:45 - 00:06:47] 嗯我觉得也是
[00:06:47 - 00:06:49] 在那个群是学习到比较多的
[00:06:49 - 00:06:51] 像我现在就自己独立能
[00:06:51 - 00:06:53] 独立打件一个测试框架
[00:06:53 - 00:06:56] 然后也是学习到很多AI官员AI的知识
[00:06:56 - 00:07:00] 但是要上手这份工作的话
[00:07:00 - 00:07:02] 你觉得比较难的点在哪里
[00:07:02 - 00:07:03] 当时吗
[00:07:03 - 00:07:03] 嗯嗯
[00:07:03 - 00:07:04] 但是该入职的时候
[00:07:04 - 00:07:08] 比较难的话就是了解他们的一个项目的一个
[00:07:08 - 00:07:10] 过程吧
[00:07:10 - 00:07:12] 因为他们没有人没有人教我
[00:07:12 - 00:07:13] 然后就自己去琢磨
[00:07:13 - 00:07:15] 然后去编写测试用力
[00:07:15 - 00:07:18] 也是前期也是比较除槽这么一个情况
[00:07:18 - 00:07:20] 要慢慢后后来就变得好转了
[00:07:20 - 00:07:22] 就大概一个月了嘛
[00:07:22 - 00:07:25] 就能自己
[00:07:25 - 00:07:28] 设计比较符合他们要求的一个测试用力
[00:07:28 - 00:07:30] 那意思就是你入职之前
[00:07:30 - 00:07:32] 自在公司从来都没有测试对吧
[00:07:32 - 00:07:34] 哦这个我不了解
[00:07:34 - 00:07:37] 因为你进去这个就是一个形象过吗
[00:07:37 - 00:07:40] 还是说已经开发到
[00:07:40 - 00:07:43] 开发有一定时间了吧
[00:07:43 - 00:07:45] 因为他公司也是比较
[00:07:45 - 00:07:49] 也是只见了两三年这么一个情况
[00:07:51 - 00:07:53] 所以你进去的时候没有人教你
[00:07:53 - 00:07:55] 然后你也不清楚前面的
[00:07:55 - 00:07:56] 是有没有测试
[00:07:56 - 00:07:58] 是直接走了没教阶之类的
[00:07:58 - 00:08:00] 对对对
[00:08:00 - 00:08:01] 所以就
[00:08:01 - 00:08:03] 感觉这也是虽然啊
[00:08:03 - 00:08:05] 比较难
[00:08:05 - 00:08:07] 也是锻炼制作的一个这么一个
[00:08:07 - 00:08:09] 经历吧
[00:08:09 - 00:08:15] 呃八个提交的话
[00:08:15 - 00:08:16] 你是用的是什么系统
[00:08:16 - 00:08:17] 用飞书
[00:08:17 - 00:08:19] 飞书之前
[00:08:20 - 00:08:22] 飞书飞书对都会表格
[00:08:22 - 00:08:28] 他是虽然是用飞书
[00:08:28 - 00:08:30] 但是他那个bug的话
[00:08:30 - 00:08:30] 也是严格按照
[00:08:30 - 00:08:33] 像测试环境啊
[00:08:33 - 00:08:34] 在秒数里面测试环境
[00:08:34 - 00:08:36] 然后不要打个的一个秒数
[00:08:36 - 00:08:38] 然后就是我会就
[00:08:38 - 00:08:41] 设立了他一个bug
[00:08:41 - 00:08:42] 一个优先级
[00:08:42 - 00:08:44] 还有一个
[00:08:44 - 00:08:47] bug优先级和对应的
[00:08:47 - 00:08:50] 我会先进行一个bug的定位
[00:08:50 - 00:08:51] 像前后端后端
[00:08:51 - 00:08:53] 然后写一个前后端后端
[00:08:53 - 00:08:54] 然后再去
[00:08:54 - 00:08:56] 写对应的复线不揍
[00:08:56 - 00:08:57] 然后再去备注
[00:08:57 - 00:08:58] 复线那里
[00:08:58 - 00:08:59] 录个屏
[00:08:59 - 00:09:01] 录我就是
[00:09:01 - 00:09:04] 就是发现bug的那个一个录屏
[00:09:04 - 00:09:05] 在复线里还有
[00:09:05 - 00:09:06] 备注
[00:09:06 - 00:09:07] 备注
[00:09:07 - 00:09:09] 如果开发有反馈的话
[00:09:09 - 00:09:09] 我会
[00:09:09 - 00:09:12] 写到备注或者和产品经济
[00:09:12 - 00:09:13] 沟通的一个那一样
[00:09:13 - 00:09:14] 是写到备注里面
[00:09:15 - 00:09:21] 复注去研发加快他的一个bug的一个回归的过程
[00:09:21 - 00:09:23] 每个bug要录屏吗
[00:09:23 - 00:09:25] 能录屏就录屏
[00:09:25 - 00:09:27] 有时候会截图
[00:09:27 - 00:09:28] 录屏会更好
[00:09:28 - 00:09:32] 那是飞书都会表格的话
[00:09:32 - 00:09:33] 假设你一个bug
[00:09:33 - 00:09:35] 然后研发那边处理完之后
[00:09:35 - 00:09:36] 他把状态表记了
[00:09:36 - 00:09:39] 他能够及时通知到你吗
[00:09:39 - 00:09:39] 能够
[00:09:39 - 00:09:41] 这个我会去
[00:09:41 - 00:09:43] 他飞书
[00:09:43 - 00:09:44] 是他边动通知是吧
[00:09:44 - 00:09:45] 哦
[00:09:45 - 00:09:51] 之前长到有没有用过
[00:09:51 - 00:09:55] 之前长到就刚我毕业的时候了解过
[00:09:55 - 00:09:57] 其实我实际那一公司是opal的
[00:09:57 - 00:09:59] 所以他那个全信是很正规的
[00:09:59 - 00:10:01] 我将于比比那个长到好
[00:10:01 - 00:10:02] 会更加好用一点
[00:10:02 - 00:10:03] 哦明白
[00:10:03 - 00:10:05] 因为那种一般都会自己研发
[00:10:05 - 00:10:06] 对
[00:10:06 - 00:10:07] 发出来
[00:10:07 - 00:10:08] 我连长到还是比较
[00:10:08 - 00:10:11] 从EUF方面还是没那个
[00:10:11 - 00:10:13] 没我现在实际那个那个公司
[00:10:13 - 00:10:14] 好
[00:10:14 - 00:10:15] 那是
[00:10:15 - 00:10:17] 那最近一个开源的
[00:10:17 - 00:10:18] 比较都是比较原始一点
[00:10:18 - 00:10:24] 那你这个服务中的平台
[00:10:24 - 00:10:26] 你因为你刚才提到就是一些
[00:10:26 - 00:10:28] 多多爵士多状态之类的
[00:10:28 - 00:10:29] 那你可能
[00:10:29 - 00:10:30] 描述一下就
[00:10:30 - 00:10:33] 当时你觉得一些比较复杂的
[00:10:33 - 00:10:34] 业务场景吗
[00:10:34 - 00:10:35] 就测试起来也比较麻烦了
[00:10:35 - 00:10:40] 测试比较麻烦的话
[00:10:40 - 00:10:41] 就是第三方吧
[00:10:41 - 00:10:43] 我的感觉最麻烦就是第三方
[00:10:43 - 00:10:44] 像那种短信啊
[00:10:45 - 00:10:45] 哦
[00:10:45 - 00:10:46] 就像
[00:10:46 - 00:10:50] 还要去和第三方博物去交接
[00:10:50 - 00:10:51] 还有他一个短信
[00:10:51 - 00:10:51] 二多有一个
[00:10:51 - 00:10:53] 有限制
[00:10:53 - 00:10:54] 嗯
[00:10:54 - 00:10:55] 还有一个我
[00:10:55 - 00:10:56] 就是我之前
[00:10:56 - 00:10:58] 遇到过一个比较印象审科的
[00:10:58 - 00:10:59] 一个报告就是他前端
[00:10:59 - 00:11:01] 他前端有一个
[00:11:01 - 00:11:03] 哦
[00:11:03 - 00:11:04] 分校员
[00:11:04 - 00:11:05] 生小角色的一个申请
[00:11:05 - 00:11:06] 再去
[00:11:06 - 00:11:08] 再用户端去申请
[00:11:08 - 00:11:10] 然后在后台有一个入口
[00:11:10 - 00:11:10] 然后
[00:11:10 - 00:11:11] 入口是申请
[00:11:11 - 00:11:13] 然后那个当时出现的一个就是
[00:11:14 - 00:11:16] 前提交申请
[00:11:16 - 00:11:18] 审批之后处于一个审批中的一个状态
[00:11:18 - 00:11:19] 之后
[00:11:19 - 00:11:20] 然后后台也有人去
[00:11:20 - 00:11:22] 如果再同时去提交申请的话
[00:11:22 - 00:11:23] 然后
[00:11:23 - 00:11:25] 然后这个前端
[00:11:25 - 00:11:27] 这个用户角色处于一个
[00:11:27 - 00:11:29] 死讯花的一个状态
[00:11:29 - 00:11:30] 就是他
[00:11:30 - 00:11:31] 已经
[00:11:31 - 00:11:32] 可以进入到一个
[00:11:32 - 00:11:35] 他已经成为了分校角色
[00:11:35 - 00:11:39] 但是前台显示还是一个审批中的一个状态
[00:11:39 - 00:11:40] 相当于死讯花呢
[00:11:40 - 00:11:41] 他走不下去了
[00:11:41 - 00:11:42] 嗯
[00:11:42 - 00:11:43] 卡斯丹那个状态那里了
[00:11:43 - 00:11:44] 对对
[00:11:44 - 00:11:45] 然后这个问题的话
[00:11:45 - 00:11:46] 就是当时的话
[00:11:46 - 00:11:48] 就给我一个提升
[00:11:48 - 00:11:48] 就是
[00:11:48 - 00:11:49] 啊就
[00:11:49 - 00:11:51] 不仅要考虑前端
[00:11:51 - 00:11:53] 还要考虑后台管理系统的一个去
[00:11:53 - 00:11:56] 这么一个思维的方向
[00:11:56 - 00:11:58] 嗯应该
[00:11:58 - 00:12:04] 那你刚
[00:12:04 - 00:12:06] 你这简历里面提到的一个
[00:12:06 - 00:12:07] 罗杰士多状态
[00:12:07 - 00:12:09] 多状态就是指刚才那种情况吗
[00:12:09 - 00:12:12] 这是一部分
[00:12:12 - 00:12:15] 更大一部分就是订单了一个很
[00:12:15 - 00:12:15] 很
[00:12:15 - 00:12:17] 订单一个状态
[00:12:17 - 00:12:18] 像带服务服务中
[00:12:18 - 00:12:19] 还有
[00:12:19 - 00:12:21] 呃
[00:12:21 - 00:12:22] 呃
[00:12:22 - 00:12:23] 还有一个就是
[00:12:23 - 00:12:27] 服务中服务呃
[00:12:27 - 00:12:29] 退款完成订单的一个
[00:12:29 - 00:12:30] 这些很长的一些状态
[00:12:30 - 00:12:32] 还有收获的像
[00:12:32 - 00:12:35] 审批审批中
[00:12:35 - 00:12:37] 还有一个退款完成这些状态
[00:12:37 - 00:12:38] 嗯明白
[00:12:38 - 00:12:41] 知复那一块的话有吃过吗
[00:12:41 - 00:12:43] 就包括那种从
[00:12:43 - 00:12:46] 类似于扫码
[00:12:46 - 00:12:47] 充值啊
[00:12:47 - 00:12:47] 这类那一块
[00:12:47 - 00:12:50] 吃过知复吧
[00:12:50 - 00:12:50] 恢复
[00:12:50 - 00:12:51] 还有
[00:12:51 - 00:12:52] 呃
[00:12:52 - 00:12:53] 鱼儿知复这种
[00:12:53 - 00:12:56] 系统层面的一支服
[00:12:56 - 00:12:57] 还有像
[00:12:57 - 00:12:59] 呃
[00:12:59 - 00:13:00] 信用卡那种支付
[00:13:00 - 00:13:02] 这个恢复嘛
[00:13:02 - 00:13:03] 好明白
[00:13:03 - 00:13:09] 还有提现提现提现那里也吃过
[00:13:09 - 00:13:10] 也是
[00:13:11 - 00:13:12] 相同的一些这些
[00:13:12 - 00:13:13] 第三方
[00:13:13 - 00:13:14] 为信提
[00:13:14 - 00:13:15] 为先提现啊
[00:13:15 - 00:13:16] 还有恢复提现
[00:13:16 - 00:13:17] 还有这种
[00:13:17 - 00:13:18] 再先
[00:13:18 - 00:13:19] 再先打款这种
[00:13:19 - 00:13:20] 模式
[00:13:20 - 00:13:20] 方式
[00:13:20 - 00:13:21] 好明白
[00:13:21 - 00:13:30] 嗯你这里面提到就是说
[00:13:30 - 00:13:31] 还要配合就
[00:13:31 - 00:13:33] sql查询息定答状态
[00:13:33 - 00:13:35] 就是你除了去看
[00:13:35 - 00:13:36] 呃
[00:13:36 - 00:13:37] 你测试过程中
[00:13:37 - 00:13:38] 除了去看可能后台一些状态
[00:13:38 - 00:13:39] 你还要
[00:13:40 - 00:13:41] 结合出去过去
[00:13:41 - 00:13:42] 看他的一个
[00:13:42 - 00:13:43] 是否有落雇嘛
[00:13:43 - 00:13:44] 好
[00:13:44 - 00:13:58] 嗯那如果说开发人员
[00:13:58 - 00:14:00] 他不承认你提的bug
[00:14:00 - 00:14:02] 然后说用户不会那样操作的
[00:14:02 - 00:14:03] 你会怎么处理
[00:14:03 - 00:14:04] 我会
[00:14:04 - 00:14:07] 嗯自己
[00:14:07 - 00:14:08] 思考一下他
[00:14:08 - 00:14:09] 是否说的是对的
[00:14:10 - 00:14:12] 然后如果他我还是觉得
[00:14:12 - 00:14:13] 我认为我自己还是对的
[00:14:13 - 00:14:14] 然后会和陈明
[00:14:14 - 00:14:17] 请你去对应的一个沟通
[00:14:17 - 00:14:18] 还有如果陈明请你说
[00:14:18 - 00:14:20] 这个没问题那就
[00:14:20 - 00:14:21] 这个bug就算
[00:14:21 - 00:14:23] 呃撤回
[00:14:23 - 00:14:25] 就算避隐
[00:14:25 - 00:14:26] 关闭
[00:14:26 - 00:14:27] 那在你
[00:14:27 - 00:14:30] 现在的这个工作当中
[00:14:30 - 00:14:31] 有发现过这种
[00:14:31 - 00:14:33] 发生过这种情况吗
[00:14:33 - 00:14:34] 哦很多啊
[00:14:34 - 00:14:35] 就是像我们这种
[00:14:35 - 00:14:36] 生活服务的话
[00:14:36 - 00:14:38] 比较重视用户体验
[00:14:38 - 00:14:39] 然后可能会有
[00:14:39 - 00:14:41] 一些比较急性的一些
[00:14:41 - 00:14:42] 并且值
[00:14:42 - 00:14:44] 然后我可能就是没有考虑到用户
[00:14:44 - 00:14:45] 所以就这种
[00:14:45 - 00:14:47] 就选择很多关闭
[00:14:47 - 00:14:52] 你要现在慢慢的话
[00:14:52 - 00:14:54] 因为我也更了解这种
[00:14:54 - 00:14:55] 这种
[00:14:55 - 00:14:58] 这个项目的话也很少提到这种
[00:14:58 - 00:15:00] 用户体验
[00:15:00 - 00:15:02] 想就是我自己更加了解的情况下
[00:15:02 - 00:15:04] 就没有提到这种
[00:15:04 - 00:15:05] 需要避缓的这些
[00:15:05 - 00:15:07] bug因为也是浪费时间在这里面
[00:15:10 - 00:15:11] 那如果说
[00:15:11 - 00:15:13] 产品它已经上线了
[00:15:13 - 00:15:15] 然后你发现了一个不严重
[00:15:15 - 00:15:18] 但会影响用户体验的小的问题
[00:15:18 - 00:15:19] 你会如何属于
[00:15:19 - 00:15:23] 和鲜和产品进行沟通
[00:15:23 - 00:15:25] 呃
[00:15:25 - 00:15:26] 如果实在是
[00:15:26 - 00:15:28] 很着急上线
[00:15:28 - 00:15:29] 而且且不影响
[00:15:29 - 00:15:29] 主流程的话
[00:15:29 - 00:15:30] 那就
[00:15:30 - 00:15:32] 先上线吧
[00:15:32 - 00:15:34] 然后再上线之后再去
[00:15:34 - 00:15:37] 呃提交bug给开发去解决
[00:15:37 - 00:15:39] 然后再次
[00:15:39 - 00:15:40] 再次去补充
[00:15:40 - 00:15:43] 然后最近测试
[00:15:43 - 00:15:44] 测试bug了一个壁画
[00:15:44 - 00:15:52] 你现在的质份工作加班情况多吗
[00:15:52 - 00:15:54] 多的时候会
[00:15:54 - 00:15:56] 加班到八九点这么一个情况
[00:15:56 - 00:15:58] 嗯现在最近
[00:15:58 - 00:15:59] 因为也
[00:15:59 - 00:16:01] 呃没什么业务
[00:16:01 - 00:16:02] 所以就查员
[00:16:02 - 00:16:03] 然后现在最近也没那么多
[00:16:08 - 00:16:10] 一般是什么情况下要加班吗
[00:16:10 - 00:16:11] 当时
[00:16:11 - 00:16:12] 嗯着急上线
[00:16:12 - 00:16:13] 就版本
[00:16:13 - 00:16:16] 每节开发的话就比较着急上线
[00:16:16 - 00:16:17] 然后就
[00:16:17 - 00:16:19] 因为我测试时间是比较短的
[00:16:19 - 00:16:20] 就是两三天
[00:16:20 - 00:16:22] 所以就要
[00:16:22 - 00:16:23] 干
[00:16:23 - 00:16:24] 干工期
[00:16:24 - 00:16:30] 那如果说你的测试时间
[00:16:30 - 00:16:31] 实在是不够了
[00:16:31 - 00:16:31] 怎么办
[00:16:31 - 00:16:34] 我会选择比较
[00:16:34 - 00:16:36] 右线级比较高的一些
[00:16:36 - 00:16:37] 测试用力先执行
[00:16:38 - 00:16:39] 然后
[00:16:39 - 00:16:39] 如果
[00:16:39 - 00:16:41] 如果执行不完
[00:16:41 - 00:16:42] 那就只能去加班
[00:16:42 - 00:16:43] 就加班去测试
[00:16:43 - 00:16:44] 然后
[00:16:44 - 00:16:46] 如果实在是很严重没有
[00:16:46 - 00:16:47] 不够时间的话
[00:16:47 - 00:16:48] 我会先和产品
[00:16:48 - 00:16:49] 经纪沟通
[00:16:49 - 00:16:51] 然后考虑一个延期
[00:16:51 - 00:16:53] 这一个情况
[00:16:53 - 00:16:53] 嗯
[00:16:53 - 00:17:02] 可以分享一下
[00:17:02 - 00:17:04] 呃你现在这份工作
[00:17:04 - 00:17:05] 有你认为
[00:17:05 - 00:17:06] 亚立最大的一个事情吗
[00:17:07 - 00:17:09] 压力最大那肯定是路测
[00:17:09 - 00:17:11] 路测
[00:17:11 - 00:17:11] 对
[00:17:11 - 00:17:12] 你可以分享一个案例
[00:17:12 - 00:17:15] 嗯分享一个案例就是
[00:17:15 - 00:17:17] 上
[00:17:17 - 00:17:18] 最近的话就是
[00:17:18 - 00:17:20] 版本优化
[00:17:20 - 00:17:21] 然后一下子就
[00:17:21 - 00:17:25] 有五六十个bug去提交
[00:17:25 - 00:17:27] 呃去去优化
[00:17:27 - 00:17:29] 然后就不要测不过来
[00:17:29 - 00:17:31] 然后就出现了一个像
[00:17:31 - 00:17:32] 商品
[00:17:32 - 00:17:33] 三米三米列表页
[00:17:33 - 00:17:36] 呃切换对查询不出来
[00:17:36 - 00:17:37] 然后前台就
[00:17:37 - 00:17:41] 路车道上前车就比较严重
[00:17:41 - 00:17:43] 然后之后的话
[00:17:43 - 00:17:43] 我会
[00:17:43 - 00:17:44] 像这种
[00:17:44 - 00:17:46] 比较
[00:17:46 - 00:17:49] 贵文比较大的一个上线的话
[00:17:49 - 00:17:50] 我可能会
[00:17:50 - 00:17:50] 告辞谈评
[00:17:50 - 00:17:52] 让大家可不可以去分
[00:17:52 - 00:17:54] 分批的这样去上线
[00:17:54 - 00:17:55] 或者的话就是
[00:17:55 - 00:17:57] 嗯自己
[00:17:57 - 00:18:00] 不仅不仅要考虑这些
[00:18:00 - 00:18:02] bug还要考虑其他
[00:18:02 - 00:18:05] 不是受影响的一些模块的这样一个测试
[00:18:05 - 00:18:06] 就提升自己的一个
[00:18:06 - 00:18:09] 测试适合一个回赌
[00:18:09 - 00:18:13] 你们呃迭代的话每次是一个
[00:18:13 - 00:18:15] 因为你刚才说一下子就五六十个bug
[00:18:15 - 00:18:18] 那算是一个比较大的功能迭代了
[00:18:18 - 00:18:19] 那一般的话
[00:18:19 - 00:18:22] 你们的迭之前的话迭代周期是多久一次
[00:18:22 - 00:18:23] 有没有固定
[00:18:23 - 00:18:28] 嗯大概一周之前的话是一周
[00:18:28 - 00:18:29] 现在现在就没有什么
[00:18:29 - 00:18:31] 大大更新
[00:18:31 - 00:18:33] 一周然后
[00:18:33 - 00:18:35] 然后那修改的功能连接很多呢
[00:18:35 - 00:18:38] 一周你才五六十个bug的时候
[00:18:38 - 00:18:43] 呃你提到就是有用过拍摄
[00:18:43 - 00:18:45] 去弄一些节铺自动画那之前
[00:18:45 - 00:18:46] 有没有去研究过那种
[00:18:46 - 00:18:47] 呃以外自动画的
[00:18:47 - 00:18:48] 有
[00:18:48 - 00:18:52] 有了解过像有用拍
[00:18:52 - 00:18:54] pay white去实现一个
[00:18:54 - 00:18:57] 基本下单的一个流程
[00:18:57 - 00:19:00] 我是用那个codex
[00:19:00 - 00:19:01] 它不过这就有一个插件
[00:19:01 - 00:19:03] 你这pay white插件也要直接去
[00:19:03 - 00:19:04] 帮我去
[00:19:04 - 00:19:06] 在本地
[00:19:06 - 00:19:10] 呃去点呃帮我下单这样一个一个规模自动画
[00:19:10 - 00:19:12] 哦嗯嗯
[00:19:12 - 00:19:15] 这个规模自动画我想就是
[00:19:15 - 00:19:17] 更多的是我自己
[00:19:17 - 00:19:19] 现在了解的情况就是更多像远处定位
[00:19:19 - 00:19:20] 规模定位
[00:19:20 - 00:19:21] 这种情况吧
[00:19:21 - 00:19:22] 嗯
[00:19:22 - 00:19:24] 我感觉学习其他也是比较快呢
[00:19:24 - 00:19:25] 因为我现在
[00:19:25 - 00:19:27] 因为规模自动画它有一个缺点就是
[00:19:27 - 00:19:28] 如果是项目比较快的话
